,0
0,26
1,27
2,32
3,31
4,20
5,25
6,29
7,34
8,21
9,24
10,22
11,23
12,18
13,19
14,35
15,17
16,33
17,38
18,30
19,28
20,36
21,37
22,39
23,16
24,43
25,40
26,42
