Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
20 J. de Guzmán,31,Netherlands,E. Frankfurt,€2.7M,Right,6,173cm,70kg,CAM,2020,Oliver Glasner,1.52 Years
D. da Costa,27,Germany,E. Frankfurt,€7M,Right,24,187cm,85kg,RWB,2022,Oliver Glasner,1.52 Years
D. Kamada,24,Japan,E. Frankfurt,€24M,Right,15,184cm,76kg,CAM,2023,Oliver Glasner,1.52 Years
20 Gelson Fernandes,32,Switzerland,E. Frankfurt,€5M,Right,5,179cm,70kg,CDM,2020,Oliver Glasner,1.52 Years
A. Hrustić,24,Australia,E. Frankfurt,€2.6M,Left,7,183cm,74kg,CAM,2023,Oliver Glasner,1.52 Years
A. Barkok,23,Morocco,E. Frankfurt,€4.8M,Right,27,189cm,82kg,CAM,2022,Oliver Glasner,1.52 Years
A. Touré,25,France,E. Frankfurt,€5M,Right,18,183cm,81kg,RB,2023,Oliver Glasner,1.52 Years
K. Jakić,24,Croatia,E. Frankfurt,€4.2M,Right,6,181cm,78kg,CDM,30-Jun-22,Oliver Glasner,1.52 Years
M. Hasebe,37,Japan,E. Frankfurt,€2.1M,Right,20,180cm,72kg,CDM,2022,Oliver Glasner,1.52 Years
E. Durm,29,Germany,E. Frankfurt,€3.7M,Right,37,183cm,72kg,RWB,2023,Oliver Glasner,1.52 Years
A. Younes,27,Germany,E. Frankfurt,€15M,Right,32,168cm,70kg,CAM,30-Jun-22,Oliver Glasner,1.52 Years
E. Ndicka,21,France,E. Frankfurt,€20M,Left,2,192cm,80kg,CB,2023,Oliver Glasner,1.52 Years
J. Hauge,21,Norway,E. Frankfurt,€15M,Right,23,184cm,80kg,RM,30-Jun-22,Oliver Glasner,1.52 Years
21 D. Abraham,33,Argentina,E. Frankfurt,€3.6M,Right,19,189cm,82kg,CB,2021,Oliver Glasner,1.52 Years
Gonçalo Paciência,26,Portugal,E. Frankfurt,€6.5M,Right,39,184cm,79kg,ST,2023,Oliver Glasner,1.52 Years
S. Lammers,24,Netherlands,E. Frankfurt,€6M,Left,9,191cm,77kg,ST,30-Jun-22,Oliver Glasner,1.52 Years
C. Lenz,26,Germany,E. Frankfurt,€3.3M,Left,25,180cm,75kg,LB,2024,Oliver Glasner,1.52 Years
J. Lindstrøm,21,Denmark,E. Frankfurt,€4.6M,Right,29,182cm,63kg,CAM,2026,Oliver Glasner,1.52 Years
Tuta,21,Brazil,E. Frankfurt,€4.9M,Right,35,185cm,81kg,CB,2023,Oliver Glasner,1.52 Years
S. Ilsanker,32,Austria,E. Frankfurt,€2M,Right,3,190cm,83kg,CB,2022,Oliver Glasner,1.52 Years
R. Ache,22,Germany,E. Frankfurt,€2.7M,Right,21,182cm,77kg,ST,2025,Oliver Glasner,1.52 Years
Fabio Blanco,17,Spain,E. Frankfurt,€1.2M,Right,28,179cm,71kg,RM,2023,Oliver Glasner,1.52 Years
M. Pečar,18,Slovenia,E. Frankfurt,€375K,Right,45,175cm,64kg,CAM,2022,Oliver Glasner,1.52 Years
20 M. Russ,33,Germany,E. Frankfurt,€1.5M,Right,23,190cm,88kg,CB,2020,Oliver Glasner,1.52 Years
G. Schäfer,18,Germany,E. Frankfurt,€325K,Left,46,178cm,71kg,LM,2022,Oliver Glasner,1.52 Years
10 S. Coulibaly,31,Mali,E. Frankfurt,€ 0,Left,10,179cm,78kg,CAM,2010,Oliver Glasner,1.52 Years
K. Trapp,30,Germany,E. Frankfurt,€20.5M,Right,1,189cm,88kg,GK,2024,Oliver Glasner,1.52 Years
J. Grahl,32,Germany,E. Frankfurt,€425K,Right,31,193cm,91kg,GK,2024,Oliver Glasner,1.52 Years
D. Ramaj,19,Germany,E. Frankfurt,€825K,Right,40,186cm,80kg,GK,2024,Oliver Glasner,1.52 Years
T. Alexander-Arnold,22,England,Liverpool,€114M,Right,66,180cm,69kg,RB,2025,Jürgen Klopp,5.40 Years
M. Salah,29,Egypt,Liverpool,€101M,Left,11,175cm,71kg,RW,2023,Jürgen Klopp,5.40 Years
Thiago,30,Spain,Liverpool,€65M,Right,6,174cm,70kg,CM,2024,Jürgen Klopp,5.40 Years
J. Henderson,31,England,Liverpool,€29.5M,Right,14,182cm,80kg,CDM,2025,Jürgen Klopp,5.40 Years
S. Mané,29,Senegal,Liverpool,€101M,Right,10,175cm,69kg,LW,2023,Jürgen Klopp,5.40 Years
Roberto Firmino,29,Brazil,Liverpool,€54M,Right,9,181cm,76kg,CF,2023,Jürgen Klopp,5.40 Years
Fabinho,27,Brazil,Liverpool,€73.5M,Right,3,188cm,78kg,CDM,2026,Jürgen Klopp,5.40 Years
A. Robertson,27,Scotland,Liverpool,€83.5M,Left,26,178cm,64kg,LB,2026,Jürgen Klopp,5.40 Years
Diogo Jota,24,Portugal,Liverpool,€46M,Right,20,178cm,73kg,ST,2025,Jürgen Klopp,5.40 Years
J. Milner,35,England,Liverpool,€7M,Right,7,175cm,70kg,CDM,2022,Jürgen Klopp,5.40 Years
A. Oxlade-Chamberlain,27,England,Liverpool,€18.5M,Right,15,175cm,70kg,CAM,2023,Jürgen Klopp,5.40 Years
V. van Dijk,29,Netherlands,Liverpool,€86M,Right,4,193cm,92kg,CB,2025,Jürgen Klopp,5.40 Years
N. Keïta,26,Guinea,Liverpool,€27.5M,Right,8,172cm,64kg,CAM,2023,Jürgen Klopp,5.40 Years
K. Tsimikas,25,Greece,Liverpool,€7M,Left,21,179cm,68kg,LB,2025,Jürgen Klopp,5.40 Years
T. Minamino,26,Japan,Liverpool,€6.5M,Right,18,174cm,67kg,RW,2024,Jürgen Klopp,5.40 Years
C. Jones,20,England,Liverpool,€7.5M,Right,17,185cm,75kg,CAM,2025,Jürgen Klopp,5.40 Years
J. Matip,29,Cameroon,Liverpool,€30.5M,Right,32,194cm,90kg,CB,2024,Jürgen Klopp,5.40 Years
D. Origi,26,Belgium,Liverpool,€10M,Right,27,189cm,90kg,ST,2024,Jürgen Klopp,5.40 Years
J. Gomez,24,England,Liverpool,€43.5M,Right,12,188cm,77kg,CB,2024,Jürgen Klopp,5.40 Years
20 D. Lovren,29,Croatia,Liverpool,€12.5M,Right,6,188cm,84kg,CB,2021,Jürgen Klopp,5.40 Years
I. Konaté,22,France,Liverpool,€29.5M,Right,5,194cm,95kg,CB,2026,Jürgen Klopp,5.40 Years
H. Elliott,18,England,Liverpool,€7M,Left,67,170cm,64kg,CAM,2025,Jürgen Klopp,5.40 Years
N. Williams,20,Wales,Liverpool,€2.8M,Right,76,183cm,72kg,RWB,2025,Jürgen Klopp,5.40 Years
E. Dixon-Bonner,20,England,Liverpool,€400K,Right,45,180cm,66kg,CAM,2023,Jürgen Klopp,5.40 Years
13 J. Carragher,34,England,Liverpool,€825K,Right,23,185cm,83kg,CB,2013,Jürgen Klopp,5.40 Years
N. Phillips,24,England,Liverpool,€4.4M,Right,47,190cm,84kg,CB,2025,Jürgen Klopp,5.40 Years
M. Boyes,20,Wales,Liverpool,€375K,Left,52,179cm,65kg,CB,2022,Jürgen Klopp,5.40 Years
J. Norris,18,England,Liverpool,€600K,Left,54,178cm,73kg,LB,2023,Jürgen Klopp,5.40 Years
Alisson,28,Brazil,Liverpool,€82M,Right,1,191cm,91kg,GK,2027,Jürgen Klopp,5.40 Years
T. Clayton,20,Scotland,Liverpool,€400K,Right,57,183cm,71kg,CB,2022,Jürgen Klopp,5.40 Years
B. Koumetio,18,France,Liverpool,€500K,Left,89,195cm,81kg,CB,2022,Jürgen Klopp,5.40 Years
Adrián,34,Spain,Liverpool,€725K,Right,13,190cm,80kg,GK,2023,Jürgen Klopp,5.40 Years
L. Karius,28,Germany,Liverpool,€4.5M,Right,22,189cm,87kg,GK,2022,Jürgen Klopp,5.40 Years
C. Kelleher,22,Republic of Ireland,Liverpool,€2.2M,Right,62,188cm,74kg,GK,2022,Jürgen Klopp,5.40 Years
Marcelo Pitaluga,18,Brazil,Liverpool,€475K,Right,53,191cm,78kg,GK,2023,Jürgen Klopp,5.40 Years
S. Milinković-Savić,26,Serbia,Lazio,€66M,Right,21,191cm,76kg,CM,2024,Maurizio Sarri,1.15 Years
21 M. Parolo,35,Italy,Lazio,€4.9M,Right,16,184cm,75kg,CDM,2021,Maurizio Sarri,1.15 Years
21 S. Lulić,34,Bosnia and Herzegovina,Lazio,€3.5M,Right,19,183cm,78kg,LM,2021,Maurizio Sarri,1.15 Years
J. Akpa Akpro,28,Côte d'Ivoire,Lazio,€5.5M,Right,8,180cm,70kg,RM,2024,Maurizio Sarri,1.15 Years
A. Marušić,28,Montenegro,Lazio,€16M,Right,77,185cm,85kg,RB,2022,Maurizio Sarri,1.15 Years
C. Immobile,31,Italy,Lazio,€67.5M,Right,17,185cm,85kg,ST,2025,Maurizio Sarri,1.15 Years
M. Lazzari,27,Italy,Lazio,€25M,Right,29,174cm,67kg,RWB,2024,Maurizio Sarri,1.15 Years
Lucas Leiva,34,Brazil,Lazio,€9M,Right,6,179cm,78kg,CDM,2022,Maurizio Sarri,1.15 Years
20 D. Basta,34,Serbia,Lazio,€2.7M,Right,8,183cm,72kg,RB,2024,Maurizio Sarri,1.15 Years
G. Escalante,28,Argentina,Lazio,€10M,Right,5,182cm,76kg,CDM,2024,Maurizio Sarri,1.15 Years
Luis Alberto,28,Spain,Lazio,€42.5M,Right,10,183cm,74kg,CAM,2025,Maurizio Sarri,1.15 Years
D. Cataldi,26,Italy,Lazio,€3.6M,Right,32,180cm,70kg,CAM,2024,Maurizio Sarri,1.15 Years
J. Lukaku,26,Belgium,Lazio,€3.3M,Left,91,177cm,86kg,LM,2022,Maurizio Sarri,1.15 Years
M. Zaccagni,26,Italy,Lazio,€14M,Right,20,177cm,63kg,CAM,2023,Maurizio Sarri,1.15 Years
Felipe Anderson,28,Brazil,Lazio,€14M,Right,7,175cm,70kg,LM,2025,Maurizio Sarri,1.15 Years
Jony,29,Spain,Lazio,€14M,Left,22,179cm,71kg,LM,2023,Maurizio Sarri,1.15 Years
T. Bašić,24,Croatia,Lazio,€6.5M,Left,88,190cm,82kg,CM,2026,Maurizio Sarri,1.15 Years
R. Durmisi,27,Denmark,Lazio,€2.3M,Left,24,168cm,67kg,LB,2023,Maurizio Sarri,1.15 Years
15 Ederson,28,Brazil,Lazio,€3.8M,Right,10,181cm,74kg,RW,2017,Maurizio Sarri,1.15 Years
�. Radu,34,Romania,Lazio,€3.4M,Left,26,183cm,79kg,CB,2022,Maurizio Sarri,1.15 Years
Pedro,33,Spain,Lazio,€9M,Right,9,169cm,65kg,CAM,2024,Maurizio Sarri,1.15 Years
F. Acerbi,33,Italy,Lazio,€17.5M,Left,33,192cm,88kg,CB,2023,Maurizio Sarri,1.15 Years
E. Hysaj,27,Albania,Lazio,€11M,Right,23,182cm,70kg,LB,2025,Maurizio Sarri,1.15 Years
Patric,28,Spain,Lazio,€4M,Right,4,184cm,72kg,CB,2022,Maurizio Sarri,1.15 Years
21 D. Di Gennaro,32,Italy,Lazio,€675K,Left,63,180cm,72kg,CAM,2022,Maurizio Sarri,1.15 Years
21 M. Musacchio,29,Argentina,Lazio,€9M,Right,37,180cm,73kg,CB,2023,Maurizio Sarri,1.15 Years
21 J. Minala,23,Cameroon,Lazio,€1.9M,Right,44,184cm,84kg,CM,2025,Maurizio Sarri,1.15 Years
16 M. Klose,37,Germany,Lazio,€1.3M,Right,11,184cm,84kg,ST,2016,Maurizio Sarri,1.15 Years
P. Dziczek,23,Poland,Lazio,€2.5M,Right,96,180cm,75kg,CDM,2024,Maurizio Sarri,1.15 Years
Luiz Felipe,24,Brazil,Lazio,€26M,Right,3,187cm,80kg,CB,2022,Maurizio Sarri,1.15 Years
D. Anderson,25,Netherlands,Lazio,€850K,Right,8,174cm,70kg,RWB,2023,Maurizio Sarri,1.15 Years
19 Maurício,29,Brazil,Lazio,€2.4M,Right,38,185cm,82kg,CB,2019,Maurizio Sarri,1.15 Years
D. Vavro,25,Slovakia,Lazio,€3.4M,Right,19,189cm,81kg,CB,2024,Maurizio Sarri,1.15 Years
V. Muriqi,27,Kosovo,Lazio,€6.5M,Left,94,194cm,86kg,ST,2025,Maurizio Sarri,1.15 Years
C. Lombardi,25,Italy,Lazio,€1.1M,Right,93,180cm,75kg,RW,2022,Maurizio Sarri,1.15 Years
B. Adekanye,22,Netherlands,Lazio,€1.4M,Left,14,175cm,70kg,RW,2024,Maurizio Sarri,1.15 Years
André Anderson,21,Italy,Lazio,€1.3M,Right,28,180cm,75kg,CAM,2023,Maurizio Sarri,1.15 Years
N. Armini,19,Italy,Lazio,€1.6M,Right,13,185cm,77kg,CB,2023,Maurizio Sarri,1.15 Years
Raúl Moro,18,Spain,Lazio,€1M,Right,27,168cm,60kg,CAM,2022,Maurizio Sarri,1.15 Years
Jorge Silva,22,Portugal,Lazio,€1M,Right,67,184cm,77kg,CB,2022,Maurizio Sarri,1.15 Years
Pepe Reina,38,Spain,Lazio,€1.6M,Right,25,188cm,92kg,GK,2022,Maurizio Sarri,1.15 Years
21 S. Proto,37,Belgium,Lazio,€475K,Right,24,184cm,74kg,GK,2021,Maurizio Sarri,1.15 Years
T. Strakosha,26,Albania,Lazio,€21M,Right,1,193cm,78kg,GK,2022,Maurizio Sarri,1.15 Years
08 M. Ballotta,43,Italy,Lazio,€ 0,Right,32,181cm,77kg,GK,2007,Maurizio Sarri,1.15 Years
21 Gabriel Pereira,17,Brazil,Lazio,€650K,Right,99,195cm,80kg,GK,2024,Maurizio Sarri,1.15 Years
Renato Sanches,23,Portugal,LOSC Lille,€33M,Right,18,176cm,70kg,CAM,2023,Jocelyn Gourvennec,2.12 Years
B. André,30,France,LOSC Lille,€21.5M,Right,21,180cm,74kg,CDM,2023,Jocelyn Gourvennec,2.12 Years
J. Bamba,25,France,LOSC Lille,€28M,Right,7,175cm,70kg,RM,2023,Jocelyn Gourvennec,2.12 Years
Y. Yazıcı,24,Turkey,LOSC Lille,€20.5M,Left,11,185cm,74kg,CAM,2024,Jocelyn Gourvennec,2.12 Years
Z. Çelik,24,Turkey,LOSC Lille,€22M,Right,2,180cm,78kg,RB,2023,Jocelyn Gourvennec,2.12 Years
B. Yılmaz,35,Turkey,LOSC Lille,€11M,Right,17,188cm,77kg,ST,2022,Jocelyn Gourvennec,2.12 Years
J. Pied,32,France,LOSC Lille,€1.6M,Right,26,173cm,73kg,RB,2022,Jocelyn Gourvennec,2.12 Years
Xeka,26,Portugal,LOSC Lille,€12.5M,Right,8,186cm,83kg,CM,2022,Jocelyn Gourvennec,2.12 Years
Reinildo,27,Mozambique,LOSC Lille,€15M,Left,28,180cm,73kg,LB,2022,Jocelyn Gourvennec,2.12 Years
G. Gudmundsson,22,Sweden,LOSC Lille,€6.5M,Left,5,181cm,72kg,LB,2026,Jocelyn Gourvennec,2.12 Years
J. Ikoné,23,France,LOSC Lille,€25M,Left,10,175cm,73kg,CAM,2023,Jocelyn Gourvennec,2.12 Years
D. Bradarić,21,Croatia,LOSC Lille,€8.5M,Left,29,178cm,69kg,LB,2024,Jocelyn Gourvennec,2.12 Years
T. Weah,21,United States,LOSC Lille,€8.5M,Right,22,183cm,66kg,ST,2024,Jocelyn Gourvennec,2.12 Years
A. Gomes,20,England,LOSC Lille,€4.1M,Right,20,168cm,56kg,CAM,2025,Jocelyn Gourvennec,2.12 Years
J. David,21,Canada,LOSC Lille,€32M,Right,9,177cm,77kg,ST,2025,Jocelyn Gourvennec,2.12 Years
Tiago Djaló,21,Portugal,LOSC Lille,€9M,Right,3,190cm,82kg,CB,2024,Jocelyn Gourvennec,2.12 Years
A. Onana,19,Belgium,LOSC Lille,€2.7M,Right,24,195cm,76kg,CB,2026,Jocelyn Gourvennec,2.12 Years
Show,21,Angola,LOSC Lille,€2.2M,Right,13,180cm,75kg,CDM,2024,Jocelyn Gourvennec,2.12 Years
José Fonte,37,Portugal,LOSC Lille,€4.6M,Right,6,191cm,84kg,CB,2022,Jocelyn Gourvennec,2.12 Years
S. Botman,21,Netherlands,LOSC Lille,€25.5M,Left,4,193cm,81kg,CB,2025,Jocelyn Gourvennec,2.12 Years
20 F. Bahlouli,24,France,LOSC Lille,€1.2M,Right,31,182cm,82kg,CAM,2020,Jocelyn Gourvennec,2.12 Years
C. Niasse,21,Senegal,LOSC Lille,€2.2M,Right,27,188cm,82kg,CDM,2023,Jocelyn Gourvennec,2.12 Years
21 M. Kapı,17,Turkey,LOSC Lille,€550K,Right,37,175cm,62kg,CAM,2025,Jocelyn Gourvennec,2.12 Years
21 I. Bouleghcha,17,Morocco,LOSC Lille,€775K,Right,33,177cm,68kg,CB,2024,Jocelyn Gourvennec,2.12 Years
R. Ascone,17,France,LOSC Lille,€825K,Left,14,180cm,67kg,CAM,2024,Jocelyn Gourvennec,2.12 Years
08 P. Kluivert,30,Netherlands,LOSC Lille,€ 0,Right,9,189cm,80kg,ST,2007,Jocelyn Gourvennec,2.12 Years
I. Lihadji,19,France,LOSC Lille,€2.9M,Left,19,177cm,70kg,CAM,2023,Jocelyn Gourvennec,2.12 Years
21 A. Zekaj,20,Kosovo,LOSC Lille,€900K,Right,38,187cm,83kg,CDM,2021,Jocelyn Gourvennec,2.12 Years
E. Pizzuto,19,Mexico,LOSC Lille,€650K,Left,15,179cm,69kg,CDM,2025,Jocelyn Gourvennec,2.12 Years
S. Agouzoul,23,Morocco,LOSC Lille,€1.9M,Left,23,192cm,75kg,CB,2024,Jocelyn Gourvennec,2.12 Years
K. Dabila,24,Côte d'Ivoire,LOSC Lille,€1.5M,Right,25,183cm,80kg,CB,2023,Jocelyn Gourvennec,2.12 Years
21 José Bica,17,Portugal,LOSC Lille,€600K,Right,39,176cm,66kg,CAM,2025,Jocelyn Gourvennec,2.12 Years
19 Fernando Costanza,19,Brazil,LOSC Lille,€300K,Right,29,182cm,73kg,RB,2019,Jocelyn Gourvennec,2.12 Years
Capita,19,Angola,LOSC Lille,€950K,Left,35,171cm,63kg,LM,2025,Jocelyn Gourvennec,2.12 Years
21 H. Ouro-Sama,22,Togo,LOSC Lille,€1M,Right,36,185cm,74kg,CB,2023,Jocelyn Gourvennec,2.12 Years
19 V. Enyeama,34,Nigeria,LOSC Lille,€1.8M,Right,40,184cm,87kg,GK,2019,Jocelyn Gourvennec,2.12 Years
Léo Jardim,26,Brazil,LOSC Lille,€4.5M,Right,30,188cm,82kg,GK,2024,Jocelyn Gourvennec,2.12 Years
O. Karnezis,35,Greece,LOSC Lille,€350K,Right,40,190cm,81kg,GK,2023,Jocelyn Gourvennec,2.12 Years
I. Grbić,25,Croatia,LOSC Lille,€3.8M,Right,1,195cm,93kg,GK,30-Jun-22,Jocelyn Gourvennec,2.12 Years
A. Jakubech,24,Slovakia,LOSC Lille,€1.4M,Right,16,188cm,82kg,GK,2022,Jocelyn Gourvennec,2.12 Years
Canales,30,Spain,Real Betis,€34.5M,Left,10,176cm,65kg,CAM,2023,Manuel Pellegrini,1.91 Years
17 J. Vargas,31,Peru,Real Betis,€2.3M,Left,2,180cm,77kg,LWB,2017,Manuel Pellegrini,1.91 Years
N. Fekir,27,France,Real Betis,€45M,Left,8,173cm,75kg,CAM,2023,Manuel Pellegrini,1.91 Years
A. Guardado,34,Mexico,Real Betis,€4.8M,Left,18,169cm,67kg,CDM,2022,Manuel Pellegrini,1.91 Years
Bartra,30,Spain,Real Betis,€17.5M,Right,5,184cm,73kg,CB,2023,Manuel Pellegrini,1.91 Years
Álex Moreno,28,Spain,Real Betis,€12.5M,Left,15,179cm,68kg,LB,2024,Manuel Pellegrini,1.91 Years
Camarasa,27,Spain,Real Betis,€2.7M,Right,22,183cm,77kg,CAM,2022,Manuel Pellegrini,1.91 Years
Cristian Tello,29,Spain,Real Betis,€17M,Right,11,178cm,65kg,LM,2022,Manuel Pellegrini,1.91 Years
Montoya,30,Spain,Real Betis,€4.8M,Right,2,175cm,73kg,RB,2024,Manuel Pellegrini,1.91 Years
Joaquín,39,Spain,Real Betis,€8.5M,Right,17,179cm,75kg,CAM,2022,Manuel Pellegrini,1.91 Years
Héctor Bellerín,26,Spain,Real Betis,€17M,Right,19,178cm,74kg,RB,30-Jun-22,Manuel Pellegrini,1.91 Years
Miranda,21,Spain,Real Betis,€16M,Left,33,185cm,79kg,LB,2024,Manuel Pellegrini,1.91 Years
William Carvalho,29,Portugal,Real Betis,€15M,Right,14,187cm,79kg,CDM,2023,Manuel Pellegrini,1.91 Years
Willian José,29,Brazil,Real Betis,€14M,Right,12,189cm,91kg,ST,30-Jun-22,Manuel Pellegrini,1.91 Years
D. Lainez,21,Mexico,Real Betis,€9.5M,Left,20,168cm,58kg,CAM,2024,Manuel Pellegrini,1.91 Years
Borja Iglesias,28,Spain,Real Betis,€21.5M,Right,9,187cm,86kg,ST,2024,Manuel Pellegrini,1.91 Years
G. Rodríguez,26,Argentina,Real Betis,€15M,Right,21,185cm,80kg,CDM,2024,Manuel Pellegrini,1.91 Years
21 Francis,24,Spain,Real Betis,€3M,Right,26,174cm,72kg,RM,2023,Manuel Pellegrini,1.91 Years
Y. Sabaly,28,Senegal,Real Betis,€7M,Right,23,173cm,67kg,RB,2026,Manuel Pellegrini,1.91 Years
Sidnei,30,Brazil,Real Betis,€11.5M,Right,12,185cm,80kg,CB,2022,Manuel Pellegrini,1.91 Years
Juanmi,28,Spain,Real Betis,€5.5M,Right,7,172cm,69kg,RW,2024,Manuel Pellegrini,1.91 Years
Víctor Ruiz,32,Spain,Real Betis,€9M,Left,6,185cm,78kg,CB,2023,Manuel Pellegrini,1.91 Years
Aitor Ruibal,25,Spain,Real Betis,€5.5M,Right,24,176cm,75kg,RM,2025,Manuel Pellegrini,1.91 Years
P. Akouokou,23,Côte d'Ivoire,Real Betis,€3.3M,Right,4,182cm,68kg,CDM,2024,Manuel Pellegrini,1.91 Years
21 David Carmona,23,Spain,Real Betis,€1.4M,Right,38,175cm,72kg,RWB,2021,Manuel Pellegrini,1.91 Years
Rodri,21,Spain,Real Betis,€3.9M,Left,28,168cm,62kg,CAM,2022,Manuel Pellegrini,1.91 Years
Edgar,24,Spain,Real Betis,€3.4M,Right,3,193cm,78kg,CB,2023,Manuel Pellegrini,1.91 Years
Rober,20,Spain,Real Betis,€3.8M,Left,27,169cm,63kg,CAM,2024,Manuel Pellegrini,1.91 Years
Y. Fekir,24,France,Real Betis,€1.9M,Right,31,170cm,65kg,LW,2023,Manuel Pellegrini,1.91 Years
G. Pezzella,30,Argentina,Real Betis,€8.5M,Right,16,186cm,81kg,CB,2025,Manuel Pellegrini,1.91 Years
21 Fran Callejón,22,Spain,Real Betis,€900K,Left,32,182cm,69kg,CAM,30-Jun-21,Manuel Pellegrini,1.91 Years
Marc Baró,20,Spain,Real Betis,€1.2M,Left,38,180cm,72kg,LB,30-Jun-22,Manuel Pellegrini,1.91 Years
Juan Cruz,21,Spain,Real Betis,€2.1M,Left,39,177cm,72kg,CAM,2023,Manuel Pellegrini,1.91 Years
José Lara,21,Spain,Real Betis,€1.8M,Left,26,162cm,60kg,CAM,2023,Manuel Pellegrini,1.91 Years
21 Baena,19,Spain,Real Betis,€1.1M,Right,29,173cm,68kg,RM,2022,Manuel Pellegrini,1.91 Years
C. Bravo,38,Chile,Real Betis,€1.6M,Right,25,184cm,80kg,GK,2022,Manuel Pellegrini,1.91 Years
Raúl García,20,Spain,Real Betis,€2.1M,Right,35,191cm,69kg,ST,2024,Manuel Pellegrini,1.91 Years
Kike Hermoso,21,Spain,Real Betis,€1.8M,Right,42,190cm,76kg,CB,2022,Manuel Pellegrini,1.91 Years
07 Romero,35,Spain,Real Betis,€ 0,Left,3,183cm,79kg,CB,2008,Manuel Pellegrini,1.91 Years
Rui Silva,27,Portugal,Real Betis,€25.5M,Right,13,191cm,91kg,GK,2026,Manuel Pellegrini,1.91 Years
Joel Robles,31,Spain,Real Betis,€4M,Right,1,195cm,90kg,GK,2022,Manuel Pellegrini,1.91 Years
Saúl,26,Spain,Chelsea,€39.5M,Left,17,184cm,75kg,CM,30-Jun-22,Thomas Tuchel,2.28 Years
N. Kanté,30,France,Chelsea,€100M,Right,7,168cm,70kg,CDM,2023,Thomas Tuchel,2.28 Years
Jorginho,29,Italy,Chelsea,€52.5M,Right,5,180cm,68kg,CM,2023,Thomas Tuchel,2.28 Years
Marcos Alonso,30,Spain,Chelsea,€15M,Left,3,188cm,85kg,LWB,2023,Thomas Tuchel,2.28 Years
M. Kovačić,27,Croatia,Chelsea,€41.5M,Right,8,176cm,80kg,CM,2024,Thomas Tuchel,2.28 Years
M. Mount,22,England,Chelsea,€58.5M,Right,19,178cm,70kg,CAM,2024,Thomas Tuchel,2.28 Years
R. James,21,England,Chelsea,€37M,Right,24,178cm,87kg,RWB,2025,Thomas Tuchel,2.28 Years
H. Ziyech,28,Morocco,Chelsea,€42.5M,Left,22,181cm,65kg,RW,2025,Thomas Tuchel,2.28 Years
Azpilicueta,31,Spain,Chelsea,€25M,Right,28,178cm,77kg,CB,2022,Thomas Tuchel,2.28 Years
R. Lukaku,28,Belgium,Chelsea,€93.5M,Left,9,191cm,94kg,ST,2026,Thomas Tuchel,2.28 Years
B. Chilwell,24,England,Chelsea,€40.5M,Left,21,178cm,77kg,LWB,2025,Thomas Tuchel,2.28 Years
K. Havertz,22,Germany,Chelsea,€94.5M,Left,29,188cm,82kg,CAM,2025,Thomas Tuchel,2.28 Years
Thiago Silva,36,Brazil,Chelsea,€9.5M,Right,6,183cm,79kg,CB,2022,Thomas Tuchel,2.28 Years
Kenedy,24,Brazil,Chelsea,€18M,Left,23,182cm,77kg,LM,2024,Thomas Tuchel,2.28 Years
T. Werner,25,Germany,Chelsea,€56.5M,Right,11,180cm,76kg,ST,2025,Thomas Tuchel,2.28 Years
R. Barkley,27,England,Chelsea,€16M,Right,18,189cm,76kg,CAM,2023,Thomas Tuchel,2.28 Years
L. Baker,26,England,Chelsea,€2M,Right,52,182cm,72kg,CM,2022,Thomas Tuchel,2.28 Years
C. Pulisic,22,United States,Chelsea,€49M,Right,10,177cm,69kg,RM,2024,Thomas Tuchel,2.28 Years
R. Loftus-Cheek,25,England,Chelsea,€7.5M,Right,12,191cm,88kg,CAM,2024,Thomas Tuchel,2.28 Years
A. Rüdiger,28,Germany,Chelsea,€34.5M,Right,2,190cm,85kg,CB,2022,Thomas Tuchel,2.28 Years
C. Hudson-Odoi,20,England,Chelsea,€23M,Right,20,178cm,79kg,CAM,2024,Thomas Tuchel,2.28 Years
M. Sarr,22,France,Chelsea,€5.5M,Left,31,182cm,75kg,CB,2025,Thomas Tuchel,2.28 Years
T. Chalobah,21,England,Chelsea,€5.5M,Right,14,191cm,84kg,CB,2023,Thomas Tuchel,2.28 Years
A. Christensen,25,Denmark,Chelsea,€28M,Right,4,187cm,81kg,CB,2022,Thomas Tuchel,2.28 Years
T. Uwakwe,21,England,Chelsea,€1.1M,Left,53,183cm,64kg,LWB,2022,Thomas Tuchel,2.28 Years
C. Musonda,24,Belgium,Chelsea,€3.2M,Right,34,173cm,66kg,CAM,2022,Thomas Tuchel,2.28 Years
J. Russell,20,England,Chelsea,€500K,Right,47,188cm,81kg,CAM,2022,Thomas Tuchel,2.28 Years
G. McEachran,20,England,Chelsea,€600K,Left,41,172cm,65kg,CAM,2022,Thomas Tuchel,2.28 Years
J. Brooking,18,England,Chelsea,€575K,Right,44,185cm,70kg,CB,2022,Thomas Tuchel,2.28 Years
Kepa,26,Spain,Chelsea,€19M,Right,1,186cm,88kg,GK,2025,Thomas Tuchel,2.28 Years
S. McClelland,19,Northern Ireland,Chelsea,€300K,Right,45,190cm,78kg,CB,2022,Thomas Tuchel,2.28 Years
09 Fábio Paim,20,Portugal,Chelsea,€ 0,Right,47,176cm,66kg,CF,2007,Thomas Tuchel,2.28 Years
