Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
19 Filipe Luís,32,Brazil,Atlético Madrid,€21.5M,Left,3,182cm,74kg,LWB,2019,Diego Simeone,2.09 Years
G. Kondogbia,28,Central African Republic,Atlético Madrid,€17.5M,Left,4,188cm,76kg,CM,2024,Diego Simeone,2.09 Years
A. Correa,26,Argentina,Atlético Madrid,€48M,Right,10,171cm,70kg,CAM,2024,Diego Simeone,2.09 Years
18 Gabi,33,Spain,Atlético Madrid,€10.5M,Right,14,181cm,74kg,CM,2018,Diego Simeone,2.09 Years
Y. Carrasco,27,Belgium,Atlético Madrid,€45M,Right,21,185cm,73kg,LM,2024,Diego Simeone,2.09 Years
João Félix,21,Portugal,Atlético Madrid,€82M,Right,7,181cm,72kg,CAM,2026,Diego Simeone,2.09 Years
19 Juanfran,33,Spain,Atlético Madrid,€5.5M,Right,20,181cm,71kg,RB,2019,Diego Simeone,2.09 Years
S. Vrsaljko,29,Croatia,Atlético Madrid,€18.5M,Right,24,181cm,76kg,RB,2022,Diego Simeone,2.09 Years
17 Tiago,35,Portugal,Atlético Madrid,€5.5M,Right,5,183cm,71kg,CM,2023,Diego Simeone,2.09 Years
Mario Hermoso,26,Spain,Atlético Madrid,€35.5M,Left,22,185cm,76kg,CB,2024,Diego Simeone,2.09 Years
Matheus Cunha,22,Brazil,Atlético Madrid,€35.5M,Right,19,183cm,76kg,CAM,2026,Diego Simeone,2.09 Years
21 Diego Costa,31,Spain,Atlético Madrid,€18M,Right,19,188cm,84kg,ST,2021,Diego Simeone,2.09 Years
Felipe,32,Brazil,Atlético Madrid,€27.5M,Right,18,190cm,84kg,CB,2022,Diego Simeone,2.09 Years
J. Giménez,26,Uruguay,Atlético Madrid,€52M,Right,2,185cm,79kg,CB,2025,Diego Simeone,2.09 Years
S. Savić,30,Montenegro,Atlético Madrid,€34.5M,Right,15,187cm,80kg,CB,2024,Diego Simeone,2.09 Years
Javi Serrano,18,Spain,Atlético Madrid,€1.4M,Right,26,175cm,70kg,CDM,2026,Diego Simeone,2.09 Years
Alberto Moreno,19,Spain,Atlético Madrid,€1.5M,Right,34,175cm,69kg,CAM,2022,Diego Simeone,2.09 Years
Mini,22,Spain,Atlético Madrid,€1.1M,Right,30,174cm,69kg,CDM,2023,Diego Simeone,2.09 Years
Camus,24,Spain,Atlético Madrid,€1.4M,Right,38,176cm,73kg,RB,2022,Diego Simeone,2.09 Years
I. Šaponjić,23,Serbia,Atlético Madrid,€3.8M,Right,20,190cm,88kg,ST,2022,Diego Simeone,2.09 Years
G. Simeone,18,Argentina,Atlético Madrid,€1.8M,Right,27,184cm,72kg,ST,2022,Diego Simeone,2.09 Years
21 Mario Soriano,18,Spain,Atlético Madrid,€1.5M,Right,42,163cm,59kg,CAM,2024,Diego Simeone,2.09 Years
A. Solano,23,Colombia,Atlético Madrid,€1.2M,Right,32,176cm,69kg,RB,2022,Diego Simeone,2.09 Years
E. Sutherland,21,England,Atlético Madrid,€900K,Right,45,176cm,70kg,RM,30-Jun-22,Diego Simeone,2.09 Years
J. Oblak,28,Slovenia,Atlético Madrid,€112M,Right,13,188cm,87kg,GK,2023,Diego Simeone,2.09 Years
Fran González,22,Spain,Atlético Madrid,€1.2M,Right,36,188cm,81kg,CB,2023,Diego Simeone,2.09 Years
B. Lecomte,30,France,Atlético Madrid,€13M,Left,1,187cm,78kg,GK,30-Jun-22,Diego Simeone,2.09 Years
Christian Gómez,21,Spain,Atlético Madrid,€1.3M,Right,28,187cm,80kg,GK,2022,Diego Simeone,2.09 Years
K. De Bruyne,30,Belgium,Man City,€125.5M,Right,17,181cm,70kg,CM,2025,Pep Guardiola,3.38 Years
João Cancelo,27,Portugal,Man City,€71.5M,Right,27,182cm,74kg,RB,2025,Pep Guardiola,3.38 Years
I. Gündoğan,30,Germany,Man City,€51.5M,Right,8,180cm,80kg,CM,2023,Pep Guardiola,3.38 Years
K. Walker,31,England,Man City,€39M,Right,2,183cm,83kg,RB,2024,Pep Guardiola,3.38 Years
O. Zinchenko,24,Ukraine,Man City,€29.5M,Left,11,175cm,64kg,LB,2024,Pep Guardiola,3.38 Years
Fernandinho,36,Brazil,Man City,€7M,Right,25,179cm,67kg,CDM,2022,Pep Guardiola,3.38 Years
Bernardo Silva,26,Portugal,Man City,€74M,Left,20,173cm,64kg,CAM,2025,Pep Guardiola,3.38 Years
R. Sterling,26,England,Man City,€107.5M,Right,7,170cm,69kg,LW,2023,Pep Guardiola,3.38 Years
Rodri,25,Spain,Man City,€81M,Right,16,191cm,82kg,CDM,2024,Pep Guardiola,3.38 Years
Gabriel Jesus,24,Brazil,Man City,€52.5M,Right,9,175cm,73kg,ST,2023,Pep Guardiola,3.38 Years
P. Foden,21,England,Man City,€94.5M,Left,47,171cm,69kg,CAM,2024,Pep Guardiola,3.38 Years
11 P. Vieira,34,France,Man City,€ 0,Right,24,192cm,82kg,CDM,2011,Pep Guardiola,3.38 Years
R. Mahrez,30,Algeria,Man City,€65.5M,Left,26,179cm,67kg,RW,2023,Pep Guardiola,3.38 Years
J. Grealish,25,England,Man City,€50.5M,Right,10,180cm,81kg,CAM,2027,Pep Guardiola,3.38 Years
B. Mendy,26,France,Man City,€19M,Left,22,185cm,85kg,LB,2022,Pep Guardiola,3.38 Years
Ferran Torres,21,Spain,Man City,€68.5M,Right,21,184cm,77kg,CAM,2025,Pep Guardiola,3.38 Years
N. Aké,26,Netherlands,Man City,€16.5M,Left,6,180cm,75kg,CB,2025,Pep Guardiola,3.38 Years
A. Laporte,27,Spain,Man City,€77M,Left,14,191cm,85kg,CB,2024,Pep Guardiola,3.38 Years
J. Stones,27,England,Man City,€41M,Right,5,188cm,76kg,CB,2026,Pep Guardiola,3.38 Years
Rúben Dias,24,Portugal,Man City,€102.5M,Right,3,187cm,82kg,CB,2027,Pep Guardiola,3.38 Years
J. Braaf,18,Netherlands,Man City,€1.6M,Right,51,179cm,68kg,RM,2023,Pep Guardiola,3.38 Years
L. Bolton,21,England,Man City,€1.1M,Right,74,176cm,72kg,RM,2022,Pep Guardiola,3.38 Years
C. Palmer,19,England,Man City,€1.6M,Left,80,189cm,74kg,CAM,2026,Pep Guardiola,3.38 Years
Ederson,27,Brazil,Man City,€94M,Left,31,188cm,86kg,GK,2026,Pep Guardiola,3.38 Years
20 A. Dionkou,17,Senegal,Man City,€550K,Right,88,183cm,77kg,RB,2020,Pep Guardiola,3.38 Years
Kayky,18,Brazil,Man City,€2.7M,Left,82,173cm,67kg,LM,2025,Pep Guardiola,3.38 Years
R. Lavia,17,Belgium,Man City,€1.2M,Right,90,181cm,75kg,CB,2023,Pep Guardiola,3.38 Years
J. McAtee,18,England,Man City,€825K,Right,87,187cm,78kg,CAM,2023,Pep Guardiola,3.38 Years
L. Delap,18,England,Man City,€1.9M,Right,48,186cm,72kg,ST,2026,Pep Guardiola,3.38 Years
Iker Pozo,20,Spain,Man City,€375K,Right,56,178cm,74kg,CM,2022,Pep Guardiola,3.38 Years
S. Edozie,18,England,Man City,€1.1M,Right,53,167cm,71kg,RM,2023,Pep Guardiola,3.38 Years
L. Mbete,17,England,Man City,€1M,Left,79,185cm,78kg,CB,2022,Pep Guardiola,3.38 Years
18 D. Faupala,20,France,Man City,€525K,Right,51,185cm,72kg,ST,2018,Pep Guardiola,3.38 Years
20 C. Tanor,21,Ghana,Man City,€110K,Right,70,175cm,70kg,CM,2020,Pep Guardiola,3.38 Years
Z. Steffen,26,United States,Man City,€12M,Right,13,191cm,86kg,GK,2022,Pep Guardiola,3.38 Years
S. Carson,35,England,Man City,€110K,Right,33,190cm,86kg,GK,2022,Pep Guardiola,3.38 Years
16 R. Wright,37,England,Man City,€100K,Left,29,188cm,89kg,GK,2016,Pep Guardiola,3.38 Years
M. Acuña,29,Argentina,Sevilla FC,€37M,Left,19,172cm,69kg,LB,2024,Julen Lopetegui,1.77 Years
L. Ocampos,26,Argentina,Sevilla FC,€39.5M,Right,5,188cm,84kg,LW,2024,Julen Lopetegui,1.77 Years
T. Delaney,29,Denmark,Sevilla FC,€22M,Left,18,182cm,79kg,CB,2025,Julen Lopetegui,1.77 Years
Jesús Navas,35,Spain,Sevilla FC,€13M,Right,16,172cm,60kg,RB,2024,Julen Lopetegui,1.77 Years
17 B. Trémoulinas,30,France,Sevilla FC,€11.5M,Left,2,172cm,65kg,LB,2017,Julen Lopetegui,1.77 Years
I. Rakitić,33,Croatia,Sevilla FC,€18.5M,Right,10,184cm,78kg,CM,2024,Julen Lopetegui,1.77 Years
N. Gudelj,29,Serbia,Sevilla FC,€15M,Right,6,187cm,73kg,CDM,2023,Julen Lopetegui,1.77 Years
E. Lamela,29,Argentina,Sevilla FC,€14M,Left,17,184cm,80kg,CAM,2024,Julen Lopetegui,1.77 Years
Joan Jordán,26,Spain,Sevilla FC,€24.5M,Right,8,183cm,74kg,CM,2023,Julen Lopetegui,1.77 Years
A. Gómez,33,Argentina,Sevilla FC,€33.5M,Right,24,167cm,68kg,CAM,2024,Julen Lopetegui,1.77 Years
Fernando,33,Brazil,Sevilla FC,€21M,Right,25,183cm,76kg,CDM,2022,Julen Lopetegui,1.77 Years
G. Montiel,24,Argentina,Sevilla FC,€21M,Right,2,175cm,70kg,RWB,2026,Julen Lopetegui,1.77 Years
L. Augustinsson,27,Sweden,Sevilla FC,€8M,Left,3,181cm,72kg,LB,2025,Julen Lopetegui,1.77 Years
19 G. Mercado,31,Argentina,Sevilla FC,€8.5M,Right,25,180cm,83kg,CB,2019,Julen Lopetegui,1.77 Years
Munir,25,Morocco,Sevilla FC,€21M,Left,11,175cm,69kg,CAM,2023,Julen Lopetegui,1.77 Years
Óliver Torres,26,Spain,Sevilla FC,€13.5M,Right,21,175cm,70kg,CAM,2024,Julen Lopetegui,1.77 Years
Suso,27,Spain,Sevilla FC,€32.5M,Left,7,176cm,70kg,RW,2025,Julen Lopetegui,1.77 Years
Diego Carlos,28,Brazil,Sevilla FC,€30.5M,Right,20,185cm,86kg,CB,2024,Julen Lopetegui,1.77 Years
Rafa Mir,24,Spain,Sevilla FC,€21.5M,Right,12,191cm,87kg,ST,2027,Julen Lopetegui,1.77 Years
J. Koundé,22,France,Sevilla FC,€53M,Right,23,181cm,75kg,CB,2024,Julen Lopetegui,1.77 Years
I. Amadou,28,France,Sevilla FC,€5.5M,Right,27,183cm,81kg,CDM,2022,Julen Lopetegui,1.77 Years
O. Idrissi,25,Morocco,Sevilla FC,€10M,Right,22,175cm,78kg,CAM,2025,Julen Lopetegui,1.77 Years
Y. En-Nesyri,24,Morocco,Sevilla FC,€44M,Left,15,188cm,78kg,ST,2025,Julen Lopetegui,1.77 Years
Óscar,23,Spain,Sevilla FC,€12.5M,Right,14,174cm,68kg,CAM,2025,Julen Lopetegui,1.77 Years
K. Rekik,26,Netherlands,Sevilla FC,€4.9M,Left,4,186cm,84kg,CB,2025,Julen Lopetegui,1.77 Years
J. Gnagnon,24,France,Sevilla FC,€6M,Right,26,182cm,89kg,CB,2023,Julen Lopetegui,1.77 Years
Pedro Ortiz,20,Spain,Sevilla FC,€600K,Left,34,184cm,76kg,CAM,2023,Julen Lopetegui,1.77 Years
Pablo Pérez,19,Spain,Sevilla FC,€750K,Left,40,170cm,65kg,LB,2024,Julen Lopetegui,1.77 Years
Santisteban,20,Spain,Sevilla FC,€800K,Right,29,178cm,82kg,ST,2024,Julen Lopetegui,1.77 Years
Zarzana,19,Spain,Sevilla FC,€1.1M,Right,30,177cm,64kg,RM,2022,Julen Lopetegui,1.77 Years
Iván Romero,20,Spain,Sevilla FC,€550K,Right,36,172cm,72kg,ST,2024,Julen Lopetegui,1.77 Years
21 Eliseo Falcón,23,Spain,Sevilla FC,€1M,Right,26,187cm,83kg,CB,2023,Julen Lopetegui,1.77 Years
Carmona,19,Spain,Sevilla FC,€550K,Right,28,183cm,80kg,RB,2025,Julen Lopetegui,1.77 Years
M. Dmitrović,29,Serbia,Sevilla FC,€16M,Left,1,194cm,94kg,GK,2025,Julen Lopetegui,1.77 Years
Y. Bounou,30,Morocco,Sevilla FC,€20.5M,Left,13,192cm,78kg,GK,2024,Julen Lopetegui,1.77 Years
Javi Díaz,24,Spain,Sevilla FC,€1.4M,Right,31,182cm,75kg,GK,2022,Julen Lopetegui,1.77 Years
Alfonso Pastor,20,Spain,Sevilla FC,€750K,Right,33,190cm,80kg,GK,2026,Julen Lopetegui,1.77 Years
G. Wijnaldum,30,Netherlands,Paris SG,€40.5M,Right,18,175cm,74kg,CM,2024,Mauricio Pochettino,2.93 Years
Sergio Ramos,35,Spain,Paris SG,€24M,Right,4,184cm,82kg,CB,2023,Mauricio Pochettino,2.93 Years
L. Messi,34,Argentina,Paris SG,€78M,Left,30,170cm,72kg,RW,2023,Mauricio Pochettino,2.93 Years
