id,title
331,Zubimendi
332,Ander Guevara
333,20 D. Zurutuza
334,A. Isak
335,A. Januzaj
336,18 Xabi Prieto
337,A. Sørloth
338,Aihen Muñoz
339,Gorosabel
340,Zaldúa
341,19 Agirretxe
342,Guridi
343,Carlos Fernández
344,Aritz Elustondo
345,Barrenetxea
346,Robert Navarro
347,21 Z. Thior
348,R. Le Normand
349,15 Iker Hernández
350,Pacheco
351,M. Ryan
352,Álex Remiro
353,21 Moyá
354,18 Toño Ramírez
355,N. Barella
356,A. Vidal
357,M. Brozović
358,A. Kolarov
359,I. Perišić
360,L. Martínez
361,H. Çalhanoğlu
362,17 Felipe Melo
363,A. Sánchez
364,S. Sensi
365,M. Vecino
366,D. D'Ambrosio
367,D. Dumfries
368,F. Dimarco
369,15 Jonathan
370,C. Eriksen
371,20 Gabriel Barbosa
372,J. Correa
373,E. Džeko
374,M. Darmian
375,R. Gagliardini
376,14 C. Chivu
377,14 J. Zanetti
378,S. de Vrij
379,M. Škriniar
380,A. Bastoni
381,19 A. Gnoukouri
382,12 I. Córdoba
383,21 S. Longo
384,21 A. Bakayoko
385,X. Emmers
386,F. Colidio
387,16 N. Vidić
388,M. Satriano
389,09 Figo
390,A. Ranocchia
391,S. Handanovič
392,I. Radu
393,19 R. Di Gennaro
394,21 T. Berni
395,A. Cordaz
396,Gabriel Brazão
397,J. Cuadrado
398,19 C. Marchisio
399,W. McKennie
400,Arthur
401,Alex Sandro
402,A. Rabiot
403,P. Dybala
404,Danilo
405,M. Locatelli
406,R. Bentancur
407,F. Bernardeschi
408,D. Kulusevski
409,A. Ramsey
410,F. Chiesa
411,M. de Ligt
412,L. Bonucci
413,14 M. Vučinić
414,Morata
415,M. De Sciglio
416,M. Kean
417,G. Chiellini
418,L. Pellegrini
419,N. Fagioli
420,19 A. Barzagli
421,I. Touré
422,H. Nicolussi Caviglia
423,D. Rugani
424,Kaio Jorge
425,L. Zanimacchia
426,10 F. Cannavaro
427,W. Szczęsny
428,M. Perin
429,C. Pinsoglio
430,L. Digne
431,Allan
432,Richarlison
433,J. Rodríguez
434,A. Doucouré
435,16 L. Osman
436,20 L. Baines
437,G. Sigurðsson
438,S. Coleman
439,F. Delph
440,J. Gbamin
441,André Gomes
442,A. Townsend
443,D. Calvert-Lewin
444,T. Davies
445,J. Kenny
446,C. Tosun
447,S. Rondón
448,M. Holgate
449,21 Bernard
450,B. Godfrey
451,M. Keane
452,20 C. Martina
453,A. Iwobi
454,D. Gray
455,Y. Mina
456,A. Gordon
457,E. Simms
458,K. John
459,21 B. Carroll
460,E. Iversen
461,I. Jagne
462,J. Pickford
463,R. Astley
464,J. Branthwaite
465,L. Dobbin
466,A. Begović
467,A. Lonergan
468,F. Kostić
469,D. Sow
470,M. Hinteregger
471,R. Borré
472,T. Chandler
473,S. Rode
474,20 J. de Guzmán
475,D. da Costa
476,D. Kamada
477,20 Gelson Fernandes
478,A. Hrustić
479,A. Barkok
480,A. Touré
481,K. Jakić
482,M. Hasebe
483,E. Durm
484,A. Younes
485,E. Ndicka
486,J. Hauge
487,21 D. Abraham
488,Gonçalo Paciência
489,S. Lammers
490,C. Lenz
491,J. Lindstrøm
492,Tuta
493,S. Ilsanker
494,R. Ache
495,Fabio Blanco
496,M. Pečar
497,20 M. Russ
498,G. Schäfer
499,10 S. Coulibaly
500,K. Trapp
501,J. Grahl
502,D. Ramaj
503,T. Alexander-Arnold
504,M. Salah
505,Thiago
506,J. Henderson
507,S. Mané
508,Roberto Firmino
509,Fabinho
510,A. Robertson
511,Diogo Jota
512,J. Milner
513,A. Oxlade-Chamberlain
514,V. van Dijk
515,N. Keïta
516,K. Tsimikas
517,T. Minamino
518,C. Jones
519,J. Matip
520,D. Origi
521,J. Gomez
522,20 D. Lovren
523,I. Konaté
524,H. Elliott
525,N. Williams
526,E. Dixon-Bonner
527,13 J. Carragher
528,N. Phillips
529,M. Boyes
530,J. Norris
531,Alisson
532,T. Clayton
533,B. Koumetio
534,Adrián
535,L. Karius
536,C. Kelleher
537,Marcelo Pitaluga
538,S. Milinković-Savić
539,21 M. Parolo
540,21 S. Lulić
541,J. Akpa Akpro
542,A. Marušić
543,C. Immobile
544,M. Lazzari
545,Lucas Leiva
546,20 D. Basta
547,G. Escalante
548,Luis Alberto
549,D. Cataldi
550,J. Lukaku
551,M. Zaccagni
552,Felipe Anderson
553,Jony
554,T. Bašić
555,R. Durmisi
556,15 Ederson
557,�. Radu
558,Pedro
559,F. Acerbi
560,E. Hysaj
561,Patric
562,21 D. Di Gennaro
563,21 M. Musacchio
564,21 J. Minala
565,16 M. Klose
566,P. Dziczek
567,Luiz Felipe
568,D. Anderson
569,19 Maurício
570,D. Vavro
571,V. Muriqi
572,C. Lombardi
573,B. Adekanye
574,André Anderson
575,N. Armini
576,Raúl Moro
577,Jorge Silva
578,Pepe Reina
579,21 S. Proto
580,T. Strakosha
581,08 M. Ballotta
